,index,resumo,data,autor,jornal,titulo,type,clean_sentence,tok_lem_sentence
0,0,"Augmented Lagrangian methods for derivative-free continuous optimization with constraints are introduced in this paper. The algorithms inherit the convergence results obtained by Andreani, Birgin, Martínez and Schuverdt for the case in which analytic derivatives exist and are available. In particular, feasible limit points satisfy KKT conditions under the Constant Positive Linear Dependence (CPLD) constraint qualification. The form of our main algorithm allows us to employ well established derivative-free subalgorithms for solving lower-level constrained subproblems. Numerical experiments are presented.",2011,"Maria Aparecida Diniz-Ehrhardt, José Mario Martínez, Lucas G Pedroso",Computational & Applied Mathematics,Derivative-free methods for nonlinear programming with general lower-level constraints,artigo,augmented lagrangian methods for derivative free continuous optimization with constraints are introduced in this paper  the algorithms inherit the convergence results obtained by andreani  birgin  martínez and schuverdt for the case in which analytic derivatives exist and are available  in particular  feasible limit points satisfy kkt conditions under the constant positive linear dependence  cpld  constraint qualification  the form of our main algorithm allows us to employ well established derivative free subalgorithms for solving lower level constrained subproblems  numerical experiments are presented ,"['augmented', 'lagrangian', 'method', 'derivative', 'continuous', 'optimization', 'constraint', 'introduced', 'paper', 'algorithm', 'inherit', 'convergence', 'result', 'obtained', 'andreani', 'birgin', 'martínez', 'schuverdt', 'analytic', 'derivative', 'exist', 'available', 'particular', 'feasible', 'limit', 'point', 'satisfy', 'condition', 'constant', 'positive', 'linear', 'dependence', 'constraint', 'qualification', 'algorithm', 'allows', 'employ', 'established', 'derivative', 'subalgorithms', 'solving', 'lower', 'level', 'constrained', 'subproblems', 'numerical', 'experiment', 'presented']"
1,1,"We propose a trust-region algorithm for constrained optimization problems in which the derivatives of the objective function are not available. In each iteration, the objective function is approximated by a model obtained by quadratic interpolation, which is then minimized within the intersection of the feasible set with the trust region. Since the constraints are handled in the trust-region subproblems, all the iterates are feasible even if some interpolation points are not. The rules for constructing and updating the quadratic model and the interpolation set use ideas from the BOBYQA software, a largely used algorithm for box-constrained problems. The subproblems are solved by ALGENCAN, a competitive implementation of an Augmented Lagrangian approach for general-constrained problems. Some numerical results for the Hock–Schittkowski collection are presented, followed by a performance comparison between …",2015/11/2,"PD Conejo, Elizabeth W Karas, Lucas G Pedroso",Optimization Methods and Software,A trust-region derivative-free algorithm for constrained optimization,artigo,we propose a trust region algorithm for constrained optimization problems in which the derivatives of the objective function are not available  in each iteration  the objective function is approximated by a model obtained by quadratic interpolation  which is then minimized within the intersection of the feasible set with the trust region  since the constraints are handled in the trust region subproblems  all the iterates are feasible even if some interpolation points are not  the rules for constructing and updating the quadratic model and the interpolation set use ideas from the bobyqa software  a largely used algorithm for box constrained problems  the subproblems are solved by algencan  a competitive implementation of an augmented lagrangian approach for general constrained problems  some numerical results for the hock schittkowski collection are presented  followed by a performance comparison between  ,"['propose', 'trust', 'region', 'algorithm', 'constrained', 'optimization', 'problem', 'derivative', 'objective', 'function', 'available', 'iteration', 'objective', 'function', 'approximated', 'model', 'obtained', 'quadratic', 'interpolation', 'minimized', 'within', 'intersection', 'feasible', 'trust', 'region', 'since', 'constraint', 'handled', 'trust', 'region', 'subproblems', 'iterates', 'feasible', 'interpolation', 'point', 'constructing', 'updating', 'quadratic', 'model', 'interpolation', 'bobyqa', 'software', 'largely', 'algorithm', 'constrained', 'problem', 'subproblems', 'solved', 'algencan', 'competitive', 'implementation', 'augmented', 'lagrangian', 'approach', 'general', 'constrained', 'problem', 'numerical', 'result', 'schittkowski', 'collection', 'presented', 'followed', 'performance', 'comparison']"
2,2,"In this work we propose a trust-region algorithm for the problem of minimizing a function within a convex closed domain. We assume that the objective function is differentiable but no derivatives are available. The algorithm has a very simple structure and allows a great deal of freedom in the choice of the models. Under reasonable assumptions for derivative-free schemes, we prove global convergence for the algorithm, that is to say, that all accumulation points of the sequence generated by the algorithm are stationary.",2013/9/1,"PD Conejo, Elizabeth W Karas, Lucas G Pedroso, Ademir A Ribeiro, M Sachine",Applied Mathematics and Computation,Global convergence of trust-region algorithms for convex constrained minimization without derivatives,artigo,in this work we propose a trust region algorithm for the problem of minimizing a function within a convex closed domain  we assume that the objective function is differentiable but no derivatives are available  the algorithm has a very simple structure and allows a great deal of freedom in the choice of the models  under reasonable assumptions for derivative free schemes  we prove global convergence for the algorithm  that is to say  that all accumulation points of the sequence generated by the algorithm are stationary ,"['propose', 'trust', 'region', 'algorithm', 'problem', 'minimizing', 'function', 'within', 'convex', 'closed', 'domain', 'assume', 'objective', 'function', 'differentiable', 'derivative', 'available', 'algorithm', 'simple', 'structure', 'allows', 'great', 'freedom', 'choice', 'model', 'reasonable', 'assumption', 'derivative', 'scheme', 'prove', 'global', 'convergence', 'algorithm', 'accumulation', 'point', 'sequence', 'generated', 'algorithm', 'stationary']"
3,3," We consider derivative-free trust-region algorithms based on sampling approaches for convex constrained problems and discuss two conditions on the quadratic models for ensuring their global convergence. The first condition requires the poisedness of the sample sets, as usual in this context, while the other one is related to the error between the model and the objective function at the sample points. Although the second condition trivially holds if the model is constructed by polynomial interpolation, since in this case the model coincides with the objective function at the sample set, we show that it also holds for models constructed by support vector regression. These two conditions imply that the error between the gradient of the trust-region model and the objective function is of the order of , where  controls the diameter of the sample set. This allows proving the global convergence of a trust-region …",2017/12/1,"Adriano Verdério, Elizabeth W Karas, Lucas G Pedroso, Katya Scheinberg",EURO Journal on Computational Optimization,On the construction of quadratic models for derivative-free trust-region algorithms,artigo, we consider derivative free trust region algorithms based on sampling approaches for convex constrained problems and discuss two conditions on the quadratic models for ensuring their global convergence  the first condition requires the poisedness of the sample sets  as usual in this context  while the other one is related to the error between the model and the objective function at the sample points  although the second condition trivially holds if the model is constructed by polynomial interpolation  since in this case the model coincides with the objective function at the sample set  we show that it also holds for models constructed by support vector regression  these two conditions imply that the error between the gradient of the trust region model and the objective function is of the order of   where  controls the diameter of the sample set  this allows proving the global convergence of a trust region  ,"['consider', 'derivative', 'trust', 'region', 'algorithm', 'based', 'sampling', 'approach', 'convex', 'constrained', 'problem', 'discus', 'condition', 'quadratic', 'model', 'ensuring', 'global', 'convergence', 'first', 'condition', 'requires', 'poisedness', 'sample', 'usual', 'context', 'related', 'error', 'model', 'objective', 'function', 'sample', 'point', 'although', 'second', 'condition', 'trivially', 'model', 'constructed', 'polynomial', 'interpolation', 'since', 'model', 'coincides', 'objective', 'function', 'sample', 'model', 'constructed', 'support', 'vector', 'regression', 'condition', 'imply', 'error', 'gradient', 'trust', 'region', 'model', 'objective', 'function', 'order', 'control', 'diameter', 'sample', 'allows', 'proving', 'global', 'convergence', 'trust', 'region']"
4,4,"We propose in this work a derivative-free Augmented Lagrangian algorithm for the general problem of optimization. We consider the method due to Andreani, Birgin, Martínez and Schuverdt, eliminating the derivative computations in the algorithm by making suitable modifications on the stopping criterion. The good theoretical results of the method were mantained, as convergence under the CPLD constraint qualification and the limitation of the penalty parameter. Numerical experiments are presented, and the most relevant of them is an example of derivative-free problem based on the simulation of areas of figures on the plane.(AU)",2009,Lucas Garcia Pedroso,"Universidade Estadual de Campinas (UNICAMP). Instituto de Matemática, Estatística e Computação Científica",Programaçao nao linear sem derivadas,artigo,we propose in this work a derivative free augmented lagrangian algorithm for the general problem of optimization  we consider the method due to andreani  birgin  martínez and schuverdt  eliminating the derivative computations in the algorithm by making suitable modifications on the stopping criterion  the good theoretical results of the method were mantained  as convergence under the cpld constraint qualification and the limitation of the penalty parameter  numerical experiments are presented  and the most relevant of them is an example of derivative free problem based on the simulation of areas of figures on the plane  au ,"['propose', 'derivative', 'augmented', 'lagrangian', 'algorithm', 'general', 'problem', 'optimization', 'consider', 'method', 'andreani', 'birgin', 'martínez', 'schuverdt', 'eliminating', 'derivative', 'computation', 'algorithm', 'making', 'suitable', 'modification', 'stopping', 'criterion', 'theoretical', 'result', 'method', 'mantained', 'convergence', 'constraint', 'qualification', 'limitation', 'penalty', 'parameter', 'numerical', 'experiment', 'presented', 'relevant', 'example', 'derivative', 'problem', 'based', 'simulation', 'figure', 'plane']"
5,7,"In this paper we present a theoretical analysis on fuzzy centroid-based clustering methods. In addition to the formulation on the classical approaches, we consider constraints that may be useful in some practical applications, such as restrictions on the number of points in each group, and methods that deal with these constraints. We propose a more general formulation to the constrained clustering problem, where each point has an associated weight, and the sum of the weights of the points that compose each group is established a priori. For both classical and proposed approaches we discuss existence and uniqueness of solutions of the involved problems, providing mathematical foundations for the established formulas. Preliminary numerical experiments, performed by means of two-dimensional examples, are also presented.",2022,"K.A. Benatti, L.G. Pedroso, A.A. Ribeiro",Information Sciences,Theoretical Analysis of Classic and Capacity Constrained Fuzzy Clustering,artigo,in this paper we present a theoretical analysis on fuzzy centroid based clustering methods  in addition to the formulation on the classical approaches  we consider constraints that may be useful in some practical applications  such as restrictions on the number of points in each group  and methods that deal with these constraints  we propose a more general formulation to the constrained clustering problem  where each point has an associated weight  and the sum of the weights of the points that compose each group is established a priori  for both classical and proposed approaches we discuss existence and uniqueness of solutions of the involved problems  providing mathematical foundations for the established formulas  preliminary numerical experiments  performed by means of two dimensional examples  are also presented ,"['paper', 'present', 'theoretical', 'analysis', 'fuzzy', 'centroid', 'based', 'clustering', 'method', 'addition', 'formulation', 'classical', 'approach', 'consider', 'constraint', 'useful', 'practical', 'application', 'restriction', 'number', 'point', 'group', 'method', 'constraint', 'propose', 'general', 'formulation', 'constrained', 'clustering', 'problem', 'point', 'associated', 'weight', 'weight', 'point', 'compose', 'group', 'established', 'priori', 'classical', 'proposed', 'approach', 'discus', 'existence', 'uniqueness', 'solution', 'involved', 'problem', 'providing', 'mathematical', 'foundation', 'established', 'formula', 'preliminary', 'numerical', 'experiment', 'performed', 'dimensional', 'example', 'presented']"
6,11,"In this work we briefly discuss some concepts of structural reliability as well as the optimization algorithm that is commonly used in this context, called HLRF. We show that the HLRF algorithm is a particular case of the SQP method, in which the Hessian of the Lagrangian is approximated by an identity matrix. Motivated by this fact, we propose the HLRF–BFGS algorithm that considers the BFGS update formula to approximate the Hessian. The algorithm proposed herein is as simple as the HLRF algorithm, since it requires just one function and gradient evaluation at each iteration and the new iterate is given by a recursive formula. Comparative numerical experiments on a set of problems selected from the literature are presented to illustrate the performance of the algorithm and the results indicate that the HLRF–BFGS algorithm has the advantage of being more robust and efficient with respect to the function and …",2015/4/1,"GA Periçaro, SR Santos, AA Ribeiro, LC Matioli",Applied Mathematical Modelling,HLRF–BFGS optimization algorithm for structural reliability,artigo,in this work we briefly discuss some concepts of structural reliability as well as the optimization algorithm that is commonly used in this context  called hlrf  we show that the hlrf algorithm is a particular case of the sqp method  in which the hessian of the lagrangian is approximated by an identity matrix  motivated by this fact  we propose the hlrf bfgs algorithm that considers the bfgs update formula to approximate the hessian  the algorithm proposed herein is as simple as the hlrf algorithm  since it requires just one function and gradient evaluation at each iteration and the new iterate is given by a recursive formula  comparative numerical experiments on a set of problems selected from the literature are presented to illustrate the performance of the algorithm and the results indicate that the hlrf bfgs algorithm has the advantage of being more robust and efficient with respect to the function and  ,"['briefly', 'discus', 'concept', 'structural', 'reliability', 'optimization', 'algorithm', 'commonly', 'context', 'called', 'algorithm', 'particular', 'method', 'hessian', 'lagrangian', 'approximated', 'identity', 'matrix', 'motivated', 'propose', 'algorithm', 'considers', 'update', 'formula', 'approximate', 'hessian', 'algorithm', 'proposed', 'herein', 'simple', 'algorithm', 'since', 'requires', 'function', 'gradient', 'evaluation', 'iteration', 'iterate', 'given', 'recursive', 'formula', 'comparative', 'numerical', 'experiment', 'problem', 'selected', 'literature', 'presented', 'illustrate', 'performance', 'algorithm', 'result', 'indicate', 'algorithm', 'advantage', 'robust', 'efficient', 'respect', 'function']"
7,12,"Solution of structural reliability problems by the First Order method require optimization algorithms to find the smallest distance between a limit state function and the origin of standard Gaussian space. The Hassofer-Lind-Rackwitz-Fiessler (HLRF) algorithm, developed specifically for this purpose, has been shown to be efficient but not robust, as it fails to converge for a significant number of problems. On the other hand, recent developments in general (augmented Lagrangian) optimization techniques have not been tested in aplication to structural reliability problems. In the present article, three new optimization algorithms for structural reliability analysis are presented. One algorithm is based on the HLRF, but uses a new differentiable merit function with Wolfe conditions to select step length in linear search. It is shown in the article that, under certain assumptions, the proposed algorithm generates a sequence that converges to the local minimizer of the problem. Two new augmented Lagrangian methods are also presented, which use quadratic penalties to solve nonlinear problems with equality constraints. Performance and robustness of the new algorithms is compared to the classic augmented Lagrangian method, to HLRF and to the improved HLRF (iHLRF) algorithms, in the solution of 25 benchmark problems from the literature. The new proposed HLRF algorithm is shown to be more robust than HLRF or iHLRF, and as efficient as the iHLRF algorithm. The two augmented Lagrangian methods proposed herein are shown to be more robust and more efficient than the classical augmented Lagrangian method.",2012/1/1,"SRd Santos, LC Matioli, AT Beck",Computer Modeling in Engineering & Sciences(CMES),New optimization algorithms for structural reliability analysis,artigo,solution of structural reliability problems by the first order method require optimization algorithms to find the smallest distance between a limit state function and the origin of standard gaussian space  the hassofer lind rackwitz fiessler  hlrf  algorithm  developed specifically for this purpose  has been shown to be efficient but not robust  as it fails to converge for a significant number of problems  on the other hand  recent developments in general  augmented lagrangian  optimization techniques have not been tested in aplication to structural reliability problems  in the present article  three new optimization algorithms for structural reliability analysis are presented  one algorithm is based on the hlrf  but uses a new differentiable merit function with wolfe conditions to select step length in linear search  it is shown in the article that  under certain assumptions  the proposed algorithm generates a sequence that converges to the local minimizer of the problem  two new augmented lagrangian methods are also presented  which use quadratic penalties to solve nonlinear problems with equality constraints  performance and robustness of the new algorithms is compared to the classic augmented lagrangian method  to hlrf and to the improved hlrf  ihlrf  algorithms  in the solution of 25 benchmark problems from the literature  the new proposed hlrf algorithm is shown to be more robust than hlrf or ihlrf  and as efficient as the ihlrf algorithm  the two augmented lagrangian methods proposed herein are shown to be more robust and more efficient than the classical augmented lagrangian method ,"['solution', 'structural', 'reliability', 'problem', 'first', 'order', 'method', 'require', 'optimization', 'algorithm', 'smallest', 'distance', 'limit', 'state', 'function', 'origin', 'standard', 'gaussian', 'space', 'hassofer', 'rackwitz', 'fiessler', 'algorithm', 'developed', 'specifically', 'purpose', 'shown', 'efficient', 'robust', 'fails', 'converge', 'significant', 'number', 'problem', 'recent', 'development', 'general', 'augmented', 'lagrangian', 'optimization', 'technique', 'tested', 'aplication', 'structural', 'reliability', 'problem', 'present', 'article', 'three', 'optimization', 'algorithm', 'structural', 'reliability', 'analysis', 'presented', 'algorithm', 'based', 'differentiable', 'merit', 'function', 'wolfe', 'condition', 'select', 'length', 'linear', 'search', 'shown', 'article', 'certain', 'assumption', 'proposed', 'algorithm', 'generates', 'sequence', 'converges', 'local', 'minimizer', 'problem', 'augmented', 'lagrangian', 'method', 'presented', 'quadratic', 'penalty', 'solve', 'nonlinear', 'problem', 'equality', 'constraint', 'performance', 'robustness', 'algorithm', 'compared', 'classic', 'augmented', 'lagrangian', 'method', 'improved', 'ihlrf', 'algorithm', 'solution', 'benchmark', 'problem', 'literature', 'proposed', 'algorithm', 'shown', 'robust', 'ihlrf', 'efficient', 'ihlrf', 'algorithm', 'augmented', 'lagrangian', 'method', 'proposed', 'herein', 'shown', 'robust', 'efficient', 'classical', 'augmented', 'lagrangian', 'method']"
8,13,"In this paper, we present an algorithm for clustering based on univariate kernel density estimation, named ClusterKDE. It consists of an iterative procedure that in each step a new cluster is obtained by minimizing a smooth kernel function. Although in our applications we have used the univariate Gaussian kernel, any smooth kernel function can be used. The proposed algorithm has the advantage of not requiring a priori the number of cluster. Furthermore, the ClusterKDE algorithm is very simple, easy to implement, well-defined and stops in a finite number of steps, namely, it always converges independently of the initial point. We also illustrate our findings by numerical experiments which are obtained when our algorithm is implemented in the software Matlab and applied to practical applications. The results indicate that the ClusterKDE algorithm is competitive and fast when compared with the well-known …",2018/1/25,"LC Matioli, SR Santos, M Kleina, EA Leite",Journal of Applied Statistics,A new algorithm for clustering based on kernel density estimation,artigo,in this paper  we present an algorithm for clustering based on univariate kernel density estimation  named clusterkde  it consists of an iterative procedure that in each step a new cluster is obtained by minimizing a smooth kernel function  although in our applications we have used the univariate gaussian kernel  any smooth kernel function can be used  the proposed algorithm has the advantage of not requiring a priori the number of cluster  furthermore  the clusterkde algorithm is very simple  easy to implement  well defined and stops in a finite number of steps  namely  it always converges independently of the initial point  we also illustrate our findings by numerical experiments which are obtained when our algorithm is implemented in the software matlab and applied to practical applications  the results indicate that the clusterkde algorithm is competitive and fast when compared with the well known  ,"['paper', 'present', 'algorithm', 'clustering', 'based', 'univariate', 'kernel', 'density', 'estimation', 'named', 'clusterkde', 'consists', 'iterative', 'procedure', 'cluster', 'obtained', 'minimizing', 'smooth', 'kernel', 'function', 'although', 'application', 'univariate', 'gaussian', 'kernel', 'smooth', 'kernel', 'function', 'proposed', 'algorithm', 'advantage', 'requiring', 'priori', 'number', 'cluster', 'furthermore', 'clusterkde', 'algorithm', 'simple', 'implement', 'defined', 'finite', 'number', 'namely', 'always', 'converges', 'independently', 'initial', 'point', 'illustrate', 'finding', 'numerical', 'experiment', 'obtained', 'algorithm', 'implemented', 'software', 'matlab', 'applied', 'practical', 'application', 'result', 'indicate', 'clusterkde', 'algorithm', 'competitive', 'compared', 'known']"
9,15," We study a family of penalty functions for augmented Lagrangian methods, and concentrate on a penalty based on the modified logarithmic barrier function. The convex conjugate of this penalty induces a Bregman distance, and the dual iterates associated with the augmented Lagrangian algorithm correspond to the iterates produced by a proximal point algorithm based on this distance. The global convergence of the dual iterates is then proved. Moreover, the level curves of the quadratic approximation of the dual kernels associated with these penalty functions are the Dikin ellipsoids. Copyright © 2008 John Wiley & Sons, Ltd.",2008/12,"Luiz Carlos Matioli, Clóvis C Gonzaga",Numerical linear algebra with applications,A new family of penalties for augmented Lagrangian methods,artigo, we study a family of penalty functions for augmented lagrangian methods  and concentrate on a penalty based on the modified logarithmic barrier function  the convex conjugate of this penalty induces a bregman distance  and the dual iterates associated with the augmented lagrangian algorithm correspond to the iterates produced by a proximal point algorithm based on this distance  the global convergence of the dual iterates is then proved  moreover  the level curves of the quadratic approximation of the dual kernels associated with these penalty functions are the dikin ellipsoids  copyright   2008 john wiley   sons  ltd ,"['study', 'family', 'penalty', 'function', 'augmented', 'lagrangian', 'method', 'concentrate', 'penalty', 'based', 'modified', 'logarithmic', 'barrier', 'function', 'convex', 'conjugate', 'penalty', 'induces', 'bregman', 'distance', 'iterates', 'associated', 'augmented', 'lagrangian', 'algorithm', 'correspond', 'iterates', 'produced', 'proximal', 'point', 'algorithm', 'based', 'distance', 'global', 'convergence', 'iterates', 'proved', 'moreover', 'level', 'curve', 'quadratic', 'approximation', 'kernel', 'associated', 'penalty', 'function', 'dikin', 'ellipsoid', 'copyright', 'wiley']"
